College,Year,Fielding_Percentage,Scoring,WL_Percentage,Hit_Batters,Earned_Run_Average,Triples_per_Game,Home_Runs_per_game,Slugging_Percentage,Double_Plays_per_Game,On_Base_Percentage,Stolen_Bases_per_Game,Strikeout-to-Walk_Ratio,Batting_Average,Doubles_per_Game,Shutouts,Team_Strikeouts_Per_Seven_Innings
Eastern Ky.,2016,0.967,4.76,0.685,,2.55,0.13,0.52,0.424,0.37,,1.78,,0.298,1.54,,
Eastern Ky.,2017,0.954,4.78,0.466,,3.39,0.12,0.59,0.435,0.22,,1.14,,0.299,1.6,,
Eastern Ky.,2018,0.97,5.14,0.682,,3.06,0.08,1.32,0.483,0.32,,1.15,,0.274,1.27,,
Eastern Ky.,2019,0.963,5.32,0.614,36.0,3.43,0.14,0.93,0.453,0.26,0.373,1.16,2.11,0.293,1.23,6.0,
Eastern Mich.,2013,0.961,3.71,0.343,,5.01,0.12,0.61,0.387,0.18,,0.51,,0.258,1.22,,
Eastern Mich.,2014,0.95,3.06,0.26,,5.27,0.1,0.32,,0.12,,0.46,,0.225,1.2,,
Eastern Mich.,2015,0.953,4.0,0.36,,5.52,0.08,0.82,0.41,0.24,,1.08,,0.271,1.14,,
Eastern Mich.,2016,0.947,3.98,0.373,,4.58,0.1,0.45,0.375,0.22,,0.82,,0.265,1.35,,
Eastern Mich.,2017,0.95,2.94,0.333,,4.58,0.02,0.39,0.354,0.33,,0.51,,0.259,1.18,,
Eastern Mich.,2018,0.941,2.82,0.22,,4.66,0.08,0.3,0.312,0.22,,0.56,,0.226,1.12,,
Elon,2013,0.947,3.67,0.404,,4.12,0.08,0.73,0.39,0.19,,1.33,,0.261,1.02,,
Elon,2014,0.965,3.85,0.454,,4.24,0.07,0.98,,0.2,,0.93,,0.244,0.94,,
Elon,2015,0.96,4.11,0.585,,3.68,0.21,0.47,0.382,0.34,,0.87,,0.261,1.28,,
Elon,2016,0.954,4.75,0.51,,3.23,0.24,0.47,0.397,0.39,,0.73,,0.281,1.39,,
Elon,2017,0.958,4.19,0.604,,2.86,0.25,0.34,0.367,0.36,,0.62,,0.264,1.13,,
Elon,2018,0.959,4.04,0.462,14.0,3.79,0.23,0.38,0.386,0.4,,0.37,,0.271,1.37,,
Elon,2019,0.959,4.65,0.62,23.0,3.97,0.13,0.81,0.432,0.24,0.357,0.37,0.85,0.258,1.76,5.0,
Evansville,2013,0.956,3.64,0.434,,3.32,0.15,0.38,0.334,0.32,,1.68,,0.241,0.98,,
Evansville,2014,0.955,3.57,0.373,,4.93,0.16,0.65,,0.31,,1.04,,0.256,0.94,,
Evansville,2015,0.938,3.71,0.182,,6.61,0.2,0.76,0.401,0.2,,0.33,,0.256,1.09,,
Evansville,2016,0.955,3.52,0.48,,2.9,0.12,0.66,0.385,0.18,,1.02,,0.246,1.4,,
Evansville,2017,0.938,3.32,0.377,,4.21,0.13,0.68,0.372,0.21,,1.25,,0.244,0.89,,
Evansville,2018,0.955,3.06,0.306,,2.92,0.08,0.69,0.342,0.14,,0.51,,0.225,0.94,,
Evansville,2019,0.959,3.18,0.388,42.0,4.56,,0.61,0.342,0.27,0.328,1.55,1.3,0.23,0.96,1.0,
FGCU,2013,0.965,5.44,0.667,,3.14,0.35,0.96,0.457,0.48,,1.61,,0.275,1.28,,
FGCU,2014,0.963,4.1,0.558,,3.06,0.2,0.77,,0.52,,0.72,,0.272,0.87,,
FGCU,2015,0.953,3.81,0.434,,3.95,0.15,0.34,0.345,0.3,,1.51,,0.265,0.7,,
FGCU,2016,0.944,4.07,0.542,,2.81,0.15,0.34,0.38,0.27,,1.0,,0.288,1.08,,
FGCU,2017,0.957,3.5,0.5,17.0,2.83,0.22,0.32,0.347,0.23,,1.18,,0.257,0.95,,
FGCU,2018,0.963,3.45,0.696,,1.93,0.23,0.55,0.369,0.21,,0.96,,0.25,0.98,,
FGCU,2019,0.968,3.31,0.569,19.0,1.73,0.2,0.35,0.352,0.37,0.325,0.96,2.44,0.254,1.12,12.0,
FIU,2013,0.962,4.09,0.491,,3.74,0.07,0.42,0.337,0.22,,0.95,,0.247,0.89,,
FIU,2014,0.957,5.04,0.623,,3.15,0.25,0.64,,0.25,,1.04,,0.288,1.3,,
FIU,2015,0.963,4.74,0.556,,3.89,0.22,0.52,0.423,0.44,,0.94,,0.287,1.44,,
FIU,2016,0.957,4.89,0.518,,3.13,0.18,0.63,0.457,0.34,,1.14,,0.325,1.23,,
FIU,2017,0.977,4.75,0.754,,1.77,0.11,0.62,0.405,0.46,,1.36,,0.283,1.0,,
FIU,2018,0.971,3.82,0.545,,2.52,0.09,0.4,0.352,0.36,,0.71,,0.262,1.02,,
FIU,2019,0.966,3.37,0.51,31.0,3.53,0.16,0.35,0.318,0.27,0.334,1.06,1.8,0.233,0.75,5.0,
Fairfield,2013,0.965,4.38,0.58,,2.54,0.28,0.36,0.36,0.3,,1.44,,0.266,0.84,,
Fairfield,2014,0.959,3.81,0.476,,2.93,0.19,0.33,,0.26,,0.9,,0.277,0.98,,
Fairfield,2015,0.97,4.65,0.51,,4.07,0.12,0.39,0.379,0.18,,1.1,,0.288,1.06,,
Fairfield,2016,0.971,5.02,0.54,,2.98,0.1,0.52,0.416,0.22,,0.96,,0.292,1.54,,
Fairfield,2017,0.966,3.69,0.481,,3.73,0.2,0.3,0.354,0.24,,0.69,,0.265,0.98,,
Fairfield,2018,0.966,3.89,0.509,,4.18,0.13,0.38,0.361,0.25,,0.89,,0.258,1.3,,
Fairfield,2019,0.963,4.0,0.52,14.0,3.21,0.16,0.34,0.376,0.26,0.355,0.86,1.45,0.29,0.98,7.0,
Fairleigh Dickinson,2013,0.95,3.39,0.523,,2.42,0.02,0.68,0.376,0.34,,1.0,,0.251,1.23,,
Fairleigh Dickinson,2014,0.959,3.05,0.5,,2.6,0.14,0.33,,0.33,,0.93,,0.235,0.98,,
Fairleigh Dickinson,2015,0.962,3.61,0.444,,4.1,0.08,0.81,0.424,0.31,,0.86,,0.264,1.61,,
Fairleigh Dickinson,2016,0.953,3.24,0.261,,5.98,0.11,0.52,0.368,0.33,,1.72,,0.257,1.0,,
Fairleigh Dickinson,2017,0.926,2.21,0.119,,6.37,0.05,0.24,0.314,0.26,,0.45,,0.246,0.88,,
Fairleigh Dickinson,2018,0.951,3.42,0.395,,4.66,0.19,0.16,0.33,0.19,,0.42,,0.256,1.0,,
Fairleigh Dickinson,2019,0.969,2.45,0.286,43.0,4.06,0.1,0.14,0.272,0.18,0.278,0.47,1.72,0.214,0.84,3.0,
Fla. Atlantic,2013,0.962,3.65,0.491,,3.01,0.14,0.33,0.348,0.51,,1.0,,0.254,1.05,,
Fla. Atlantic,2014,0.97,3.45,0.6,,1.81,0.24,0.22,,0.27,,0.6,,0.257,0.98,,
Fla. Atlantic,2015,0.967,4.44,0.669,,1.83,0.2,0.39,0.384,0.36,,1.42,,0.285,1.03,,
Fla. Atlantic,2016,0.977,5.32,0.85,,1.16,0.2,0.45,0.406,0.08,,1.7,,0.3,1.02,,
Fla. Atlantic,2017,0.958,4.09,0.625,,2.17,0.18,0.46,0.373,0.36,,1.93,,0.275,0.8,,
Fla. Atlantic,2018,0.969,4.16,0.536,,2.8,0.07,0.52,0.375,0.39,,2.25,,0.272,1.13,,
Fla. Atlantic,2019,0.945,3.44,0.4,24.0,3.55,0.12,0.28,0.341,0.62,0.341,1.72,0.99,0.26,1.0,3.0,
Florida,2013,0.979,6.46,0.866,,1.83,0.33,1.25,0.499,0.34,,1.67,,0.278,1.3,,
Florida,2014,0.978,6.91,0.821,,1.96,0.19,1.33,0.528,0.42,0.439,1.72,,0.313,1.16,,
Florida,2015,0.981,6.55,0.896,,1.63,0.21,1.19,0.514,0.34,0.438,1.4,,0.303,1.21,,
Florida,2016,0.984,6.0,0.889,,0.93,0.16,0.92,0.467,0.44,0.436,1.14,,0.312,0.84,,
Florida,2017,0.985,5.68,0.853,,0.81,0.21,0.78,0.459,0.19,0.418,1.43,,0.299,1.29,,
Florida,2018,0.984,6.22,0.836,,1.43,0.19,0.91,0.465,0.3,0.426,0.57,,0.284,1.22,,
Florida,2019,0.986,4.51,0.731,43.0,1.87,0.19,0.82,0.412,0.27,0.376,0.48,4.0,0.264,0.99,25.0,
Florida A&M,2013,0.943,3.44,0.385,,4.28,0.12,0.1,0.294,0.31,,2.02,,0.243,0.75,,
Florida A&M,2014,0.951,3.75,0.453,,3.78,0.11,0.26,,0.13,,1.77,,0.243,0.92,,
Florida A&M,2015,0.934,3.21,0.316,,4.61,0.11,0.23,0.299,0.21,,1.6,,0.237,0.7,,
Florida A&M,2016,0.942,4.54,0.474,,3.69,0.26,0.54,0.417,0.14,,1.72,,0.289,1.12,,
Florida A&M,2017,0.943,4.21,0.42,,3.6,0.23,0.55,0.376,0.25,,1.18,,0.257,1.0,,
Florida A&M,2018,0.93,3.63,0.442,,3.55,0.1,0.38,0.335,0.27,,1.21,,0.254,0.88,,
Florida A&M,2019,0.957,4.87,0.491,35.0,4.0,0.19,0.21,0.352,0.19,0.344,1.36,1.18,0.27,1.15,3.0,
Florida State,2013,0.966,5.49,0.698,,1.82,0.33,0.95,0.476,0.16,,1.1,,0.292,1.19,,
Florida State,2014,0.969,6.25,0.859,,1.53,0.2,1.02,0.493,0.23,0.416,1.0,,0.304,1.41,,7.2
Florida State,2015,0.962,5.35,0.778,,1.83,0.29,0.81,0.452,0.3,,0.83,,0.289,1.11,,
Florida State,2016,0.965,7.06,0.846,,2.23,0.17,0.97,0.505,0.4,0.431,2.38,,0.323,1.34,,
Florida State,2017,0.968,6.63,0.867,17.0,1.47,0.38,1.11,0.544,0.38,0.429,1.69,,0.329,1.47,,
Florida State,2018,0.977,5.86,0.829,,1.5,0.3,1.09,0.503,0.49,0.395,2.17,,0.289,1.64,,
Florida State,2019,0.973,6.98,0.846,32.0,1.87,0.28,1.62,0.601,0.37,0.421,1.77,3.74,0.33,1.58,22.0,
Fordham,2013,0.957,5.27,0.61,,3.3,0.15,1.17,0.495,0.34,,0.47,,0.306,1.32,,
Fordham,2014,0.967,5.13,0.643,,3.36,0.09,1.09,0.482,0.34,,0.36,,0.294,1.45,,
Fordham,2015,0.966,5.57,0.655,,2.88,0.17,0.9,0.469,0.19,,0.64,,0.309,1.33,,
Fordham,2016,0.966,5.18,0.65,18.0,3.51,0.13,0.65,0.426,0.25,,1.35,,0.294,1.3,,
Fordham,2017,0.962,6.11,0.73,,2.28,0.21,0.83,0.475,0.17,0.413,1.35,,0.313,1.41,,
Fordham,2018,0.94,5.32,0.589,,3.09,0.16,1.05,0.447,0.14,,0.96,,0.271,1.14,,
Fordham,2019,0.944,5.16,0.527,29.0,3.84,0.15,0.95,0.459,0.2,0.367,0.6,1.9,0.306,1.13,1.0,
Fresno State,2013,0.971,3.8,0.556,,2.66,0.31,0.41,0.377,0.33,,1.61,,0.279,0.76,,
Fresno State,2014,0.97,4.77,0.596,,2.62,0.31,0.56,,0.48,,1.42,,0.282,0.9,,
Fresno State,2015,0.961,5.79,0.714,,2.5,0.34,0.52,0.452,0.21,0.414,1.0,,0.325,1.2,,
Fresno State,2016,0.959,6.31,0.773,,3.49,0.2,1.11,0.499,0.35,0.404,0.73,,0.315,1.36,,
Fresno State,2017,0.961,5.16,0.603,,2.95,0.31,0.74,0.435,0.12,,0.4,,0.282,1.16,,
Fresno State,2018,0.968,5.39,0.574,,3.92,0.31,0.93,0.483,0.57,0.41,0.76,,0.289,1.43,,
Fresno State,2019,0.971,5.19,0.649,33.0,2.98,0.28,0.74,0.473,0.39,0.399,0.98,1.64,0.308,1.44,13.0,
Furman,2013,0.963,3.65,0.5,,2.27,0.13,0.52,0.373,0.19,,0.65,,0.255,1.3,,
Furman,2014,0.971,3.31,0.527,,3.34,0.16,0.64,,0.38,,0.89,,0.232,1.07,,
Furman,2015,0.974,3.95,0.554,,3.1,0.18,0.96,0.418,0.36,,0.75,,0.252,1.27,,
Furman,2016,0.96,4.79,0.541,,3.4,0.18,0.97,0.481,0.2,,0.43,,0.301,1.61,,
Furman,2017,0.966,4.17,0.574,,2.6,0.13,0.57,0.393,0.24,,0.87,,0.269,1.26,,
Furman,2018,0.967,4.57,0.732,,2.3,0.18,1.02,0.436,0.23,,1.5,,0.26,1.07,,
Furman,2019,0.95,3.29,0.255,27.0,5.89,0.25,0.86,0.409,0.37,0.327,0.65,0.81,0.244,1.12,2.0,
Ga. Southern,2013,0.971,3.14,0.524,,2.36,0.1,0.59,0.334,0.22,,0.24,,0.222,1.05,,
Ga. Southern,2014,0.972,4.3,0.625,,2.09,0.11,0.82,,0.2,,0.59,,0.255,1.02,,8.16
Ga. Southern,2015,0.936,3.55,0.235,,5.83,0.1,0.57,0.366,0.35,,0.37,,0.25,1.1,,
Ga. Southern,2016,0.949,4.25,0.526,,4.34,0.18,0.77,0.408,0.16,,0.91,,0.278,0.77,,
Ga. Southern,2017,0.945,4.3,0.453,,4.5,0.19,0.81,0.416,0.19,,0.6,,0.262,1.09,,
Ga. Southern,2018,0.97,4.06,0.528,,3.71,0.08,0.91,0.421,0.4,,0.4,,0.272,1.23,,
Ga. Southern,2019,0.956,4.41,0.451,51.0,3.67,0.08,0.96,0.428,0.29,0.348,0.27,1.0,0.261,1.31,2.0,
Gardner-Webb,2013,0.963,3.5,0.295,,5.84,0.14,0.34,0.365,0.18,,0.61,,0.28,0.98,,
Gardner-Webb,2014,0.953,2.98,0.308,,4.46,0.19,0.33,,0.23,,0.87,,0.25,0.67,,
Gardner-Webb,2015,0.961,3.88,0.3,,5.9,0.16,0.62,0.401,0.26,,0.66,,0.283,1.06,,
Gardner-Webb,2016,0.953,3.67,0.389,,4.33,0.19,0.54,0.37,0.24,,0.57,,0.247,1.11,,
Gardner-Webb,2017,0.951,3.7,0.32,,4.16,0.18,0.28,0.339,0.28,,0.16,,0.245,1.2,,
Gardner-Webb,2018,0.947,5.57,0.5,,5.25,0.29,0.69,0.465,0.16,0.406,1.98,,0.312,1.29,,
Gardner-Webb,2019,0.947,5.76,0.556,31.0,3.93,0.35,0.76,0.472,0.15,0.387,1.02,1.76,0.297,1.5,7.0,
George Mason,2013,0.958,2.49,0.327,,3.06,0.07,0.11,0.272,0.38,,0.6,,0.222,0.82,,
George Mason,2014,0.962,5.44,0.512,,2.8,0.33,0.21,,0.35,,1.19,,0.286,0.91,,
George Mason,2015,0.959,4.42,0.442,,3.79,0.25,0.42,0.374,0.4,,0.94,,0.275,0.92,,
George Mason,2016,0.958,3.77,0.468,17.0,2.78,0.17,0.13,0.336,0.13,,0.55,,0.262,1.26,,
George Mason,2017,0.936,3.02,0.411,,2.93,0.16,0.18,0.308,0.18,,0.64,,0.238,0.96,,
George Mason,2018,0.939,3.7,0.44,,3.47,0.12,0.4,0.349,0.14,,0.64,,0.251,1.18,,
George Mason,2019,0.952,3.17,0.458,20.0,2.88,0.1,0.23,0.308,0.35,0.32,0.63,2.82,0.242,0.83,7.0,
George Washington,2013,0.954,4.36,0.54,,2.61,0.16,0.44,0.361,0.14,,1.2,,0.258,0.94,,
George Washington,2014,0.951,4.04,0.37,,4.64,0.14,0.36,,0.14,,1.82,,0.263,1.46,,
George Washington,2015,0.962,4.9,0.521,,3.97,0.27,0.44,0.411,0.52,,2.13,,0.282,1.42,,
George Washington,2016,0.953,4.02,0.442,,4.03,0.4,0.23,0.388,0.15,,1.56,,0.268,1.56,,
George Washington,2017,0.964,5.0,0.538,,3.81,0.17,0.63,0.444,0.35,,1.4,,0.302,1.6,,
George Washington,2018,0.962,6.13,0.611,,3.69,0.3,0.78,0.493,0.28,0.394,2.0,,0.328,1.67,,
George Washington,2019,0.964,6.02,0.71,17.0,3.48,0.31,0.71,0.502,0.26,0.405,1.26,2.09,0.341,1.68,6.0,
Georgetown,2013,0.959,3.52,0.389,,4.65,,0.46,0.346,0.07,,0.63,,0.254,1.0,,
Georgetown,2014,0.957,4.08,0.542,,3.12,0.13,0.5,,0.21,,0.71,,0.246,1.02,,
Georgetown,2015,0.958,3.3,0.319,,4.16,0.11,0.36,0.336,0.23,,0.94,,0.249,0.94,,
Georgetown,2016,0.954,4.43,0.205,,6.78,0.11,0.41,0.383,0.34,,0.59,,0.283,1.16,,
Georgetown,2017,0.957,3.69,0.229,,5.87,0.08,0.56,0.379,0.15,,0.71,,0.275,0.9,,
Georgetown,2018,0.963,3.33,0.308,,4.93,0.15,0.37,0.35,0.12,,1.19,,0.265,0.85,,
Georgetown,2019,0.955,3.55,0.286,39.0,6.7,0.1,0.51,0.367,0.08,0.334,1.1,0.88,0.248,1.16,1.0,
Georgia,2013,0.962,6.66,0.656,,3.23,0.25,1.52,0.576,0.3,,1.52,,0.33,1.33,,
Georgia,2014,0.965,5.88,0.766,,2.25,0.19,1.45,0.552,0.36,0.411,0.8,,0.306,1.34,,7.08
Georgia,2015,0.957,7.21,0.721,,2.19,0.26,1.0,0.528,0.16,0.42,2.0,,0.343,1.38,,
Georgia,2016,0.965,6.32,0.697,,2.27,0.14,0.97,0.515,0.17,0.418,1.0,,0.342,1.33,,
Georgia,2017,0.954,5.52,0.603,,2.73,0.26,0.48,0.453,0.16,0.408,1.81,,0.338,1.09,,
Georgia,2018,0.966,5.97,0.787,,1.86,0.26,1.08,0.526,0.2,0.404,1.46,,0.333,1.31,,
Georgia,2019,0.966,6.03,0.689,36.0,2.45,0.23,1.26,0.508,0.16,0.39,0.89,2.05,0.296,1.26,18.0,
Georgia State,2013,0.959,5.13,0.655,,3.16,0.16,0.82,0.415,0.18,,1.42,,0.275,0.96,,
Georgia State,2014,0.963,5.05,0.536,,3.92,0.2,1.05,,0.38,,0.84,,0.287,1.02,,
Georgia State,2015,0.977,6.98,0.633,,5.27,0.17,1.7,0.593,0.38,0.419,0.88,,0.334,1.53,,
Georgia State,2016,0.96,4.79,0.541,,3.77,0.11,0.52,0.397,0.41,,0.89,,0.292,1.08,,
Georgia State,2017,0.967,5.3,0.59,,3.69,0.08,0.89,0.441,0.26,,0.74,,0.3,1.08,,
Georgia State,2018,0.967,4.8,0.564,11.0,3.78,0.11,0.84,0.432,0.29,,0.62,,0.288,1.31,,
Georgia State,2019,0.949,2.63,0.148,20.0,5.39,0.06,0.33,0.302,0.26,0.31,0.57,0.72,0.223,0.91,1.0,
Georgia Tech,2013,0.96,5.53,0.455,,5.37,0.22,0.85,0.451,0.47,,1.69,,0.293,1.22,,
Georgia Tech,2014,0.962,4.72,0.489,,4.21,0.21,0.79,,0.34,,1.38,,0.297,1.15,,
Georgia Tech,2015,0.966,3.5,0.32,,4.9,0.16,0.7,0.376,0.12,,0.5,,0.235,0.96,,
Georgia Tech,2016,0.963,2.95,0.4,,4.21,0.09,0.58,0.339,0.36,,0.82,,0.228,0.91,,
Georgia Tech,2017,0.963,4.42,0.358,,4.82,0.08,1.02,0.414,0.4,,0.72,,0.256,1.11,,
Georgia Tech,2018,0.949,4.31,0.519,,2.76,0.17,1.0,0.395,0.24,,0.15,,0.227,0.96,,
Georgia Tech,2019,0.964,5.62,0.534,28.0,4.6,0.1,1.05,0.474,0.29,0.395,0.45,1.36,0.277,1.79,4.0,
Grambling,2013,0.909,3.87,0.244,,7.14,0.29,0.31,0.365,0.13,,0.96,,0.257,1.13,,
Grambling,2014,0.909,5.2,0.314,,5.71,0.26,0.54,,0.2,,1.09,,0.276,1.03,,
Grambling,2015,0.934,3.37,0.237,,6.62,0.16,0.16,0.313,0.24,,1.26,,0.248,0.84,,
Grambling,2016,0.899,2.78,0.135,,9.84,0.19,0.05,0.266,0.19,,0.78,,0.208,0.73,,
Grambling,2017,0.92,3.64,0.289,,6.29,0.2,0.24,0.357,0.22,,1.47,,0.263,1.07,,
Grambling,2018,0.925,4.18,0.282,,7.13,0.15,0.18,0.319,0.26,,0.85,,0.246,0.82,,
Grambling,2019,0.946,5.08,0.41,17.0,5.98,0.13,0.59,0.395,0.23,0.367,2.28,0.52,0.266,1.13,1.0,
Grand Canyon,2018,0.968,5.39,0.525,,3.77,0.24,0.69,0.466,0.58,,0.8,,0.316,1.63,,
Grand Canyon,2019,0.967,4.07,0.579,38.0,2.46,0.12,0.65,0.405,0.53,0.336,0.65,2.12,0.281,1.07,14.0,
Green Bay,2013,0.957,3.54,0.378,,3.59,0.19,0.57,0.38,0.11,,0.76,,0.264,1.0,,
Green Bay,2014,0.962,4.63,0.659,,2.79,0.27,0.51,,0.29,,0.66,,0.29,1.46,,
Green Bay,2015,0.964,4.67,0.391,15.0,5.5,0.22,0.74,0.443,0.22,,0.52,,0.295,1.33,,
Green Bay,2016,0.963,4.04,0.389,,6.66,0.15,0.57,0.38,0.28,,0.39,,0.262,0.94,,
Green Bay,2017,0.96,2.74,0.114,17.0,7.31,0.14,0.4,0.358,0.29,,0.54,,0.259,1.06,,
Green Bay,2018,0.955,2.63,0.239,,5.05,0.22,0.33,0.322,0.2,,0.39,,0.233,0.85,,
Green Bay,2019,0.943,3.51,0.293,16.0,4.13,0.07,0.51,0.335,0.29,0.307,0.56,1.16,0.24,0.85,1.0,
Hampton,2013,0.948,5.1,0.567,,3.75,0.37,0.35,0.4,0.05,,1.03,,0.282,1.4,,
Hampton,2014,0.953,4.41,0.592,,3.65,0.24,0.35,,0.06,,1.59,,0.29,1.12,,
Hampton,2015,0.965,4.27,0.458,,3.65,0.1,0.38,0.369,0.31,,0.85,,0.276,1.06,,
Hampton,2016,0.954,4.67,0.417,,5.56,0.21,0.4,0.407,0.46,,0.75,,0.289,1.52,,
Hampton,2017,0.959,4.2,0.511,,2.93,0.24,0.42,0.38,0.44,,1.73,,0.266,1.2,,
Hampton,2018,0.943,3.46,0.462,,3.52,0.29,0.12,0.348,0.42,,2.25,,0.272,1.02,,
Hampton,2019,0.937,4.21,0.479,32.0,4.27,0.38,0.23,0.364,0.42,0.336,2.35,1.49,0.261,1.02,4.0,
Hartford,2013,0.963,3.16,0.382,,3.97,0.07,0.16,0.276,0.35,,0.47,,0.221,0.8,,
Hartford,2014,0.952,2.76,0.211,,6.32,0.11,0.24,,0.24,,0.66,,0.231,1.16,,
Hartford,2015,0.947,2.07,0.065,,8.02,0.15,0.2,0.282,0.28,,0.5,,0.208,0.85,,
Hartford,2016,0.931,1.98,0.118,,5.93,0.04,0.12,0.27,0.35,,0.76,,0.215,0.86,,
Hartford,2017,0.924,2.31,0.082,,6.37,0.08,0.43,0.306,0.37,,0.76,,0.207,0.88,,
Hartford,2018,0.94,3.5,0.238,15.0,5.96,0.12,0.5,0.381,0.31,,0.57,,0.273,1.12,,
Hartford,2019,0.966,3.65,0.392,12.0,5.43,0.25,0.39,0.347,0.16,0.304,0.57,0.93,0.247,0.9,3.0,
Harvard,2013,0.954,4.41,0.5,,3.62,0.16,0.52,0.404,0.23,,1.52,,0.285,1.23,,
Harvard,2014,0.97,4.43,0.648,,2.12,0.16,0.41,,0.34,,1.89,,0.277,1.3,,
Harvard,2015,0.957,4.73,0.523,,3.26,0.27,0.57,0.397,0.2,,1.48,,0.282,0.86,,
Harvard,2016,0.97,5.26,0.63,,3.51,0.3,0.52,0.453,0.28,,1.15,,0.314,1.74,,
Harvard,2017,0.969,4.51,0.537,,3.75,0.22,0.51,0.404,0.07,,1.0,,0.28,1.32,,
Harvard,2018,0.961,4.8,0.561,,3.71,0.22,0.54,0.411,0.39,,1.1,,0.282,1.39,,
Harvard,2019,0.968,5.0,0.568,34.0,3.97,0.16,0.52,0.407,0.27,0.361,1.61,1.27,0.283,1.34,2.0,
Hawaii,2013,0.964,5.21,0.776,,2.39,0.17,1.4,0.504,0.38,,0.62,,0.282,1.28,,
Hawaii,2014,0.955,4.5,0.44,,4.78,0.1,1.16,,0.34,,0.42,,0.276,1.06,,
Hawaii,2015,0.955,4.65,0.593,,2.61,0.06,1.04,0.431,0.31,,0.54,,0.265,0.98,,
Hawaii,2016,0.95,3.04,0.444,,2.99,0.07,0.46,0.333,0.3,,0.43,,0.237,0.94,,
Hawaii,2017,0.961,3.83,0.558,,2.37,0.1,0.83,0.424,0.35,,0.62,,0.282,1.0,,
Hawaii,2018,0.96,3.46,0.46,,3.39,0.06,0.68,0.36,0.28,,0.32,,0.244,0.74,,
Hawaii,2019,0.957,4.69,0.673,16.0,2.68,0.04,1.04,0.438,0.47,0.351,0.51,2.81,0.262,1.2,10.0,
Hofstra,2013,0.973,5.58,0.78,,1.67,0.19,0.95,0.49,0.12,,0.58,,0.313,1.51,,
Hofstra,2014,0.963,5.55,0.694,,2.21,0.27,0.73,,0.39,,1.16,,0.305,1.37,,
Hofstra,2015,0.975,5.23,0.726,,2.05,0.09,1.06,0.439,0.28,,0.55,,0.283,0.83,,
Hofstra,2016,0.961,5.8,0.522,,4.66,0.13,1.24,0.503,0.33,,0.5,,0.3,1.59,,
Hofstra,2017,0.97,4.06,0.54,,3.91,0.1,0.74,0.421,0.3,,0.38,,0.274,1.2,,
Hofstra,2018,0.979,6.07,0.745,,2.24,0.2,1.27,0.505,0.33,0.39,0.45,,0.295,1.47,,
Hofstra,2019,0.963,4.77,0.426,34.0,5.09,0.13,0.4,0.401,0.7,0.383,1.62,0.65,0.305,1.19,5.0,
Holy Cross,2013,0.944,3.48,0.295,,4.38,0.05,0.43,0.358,0.23,,1.3,,0.254,1.2,,
Holy Cross,2014,0.966,3.0,0.316,,4.21,0.08,0.26,,0.26,,1.21,,0.249,0.97,,
Holy Cross,2015,0.959,3.36,0.393,,4.58,0.18,0.32,0.336,0.18,,0.93,,0.251,0.96,,
Holy Cross,2016,0.951,2.66,0.182,,4.81,0.16,0.23,0.296,0.14,,1.14,,0.227,0.77,,
Holy Cross,2017,0.951,2.88,0.302,,5.24,0.19,0.26,0.345,0.23,,0.3,,0.264,0.95,,
Holy Cross,2018,0.958,3.16,0.267,16.0,4.34,0.16,0.18,0.317,0.24,,0.22,,0.245,1.09,,
Holy Cross,2019,0.961,2.61,0.286,28.0,3.31,0.31,0.14,0.285,0.08,0.274,0.35,3.47,0.21,0.92,4.0,
Houston,2013,0.951,5.05,0.672,,2.66,0.15,0.69,0.442,0.36,,0.84,,0.291,1.48,,
Houston,2014,0.963,5.55,0.589,,3.24,0.16,0.8,,0.52,,1.23,,0.28,0.96,,
Houston,2015,0.959,4.71,0.509,,3.55,0.16,0.75,0.421,0.51,,0.96,,0.276,1.15,,
Houston,2016,0.957,4.32,0.482,,3.62,0.13,0.64,0.409,0.34,,1.07,,0.285,1.04,,
Houston,2017,0.951,5.2,0.545,12.0,2.65,0.18,0.62,0.424,0.25,0.383,0.76,,0.302,1.02,,
Houston,2018,0.968,4.34,0.627,,1.92,0.17,0.51,0.379,0.47,,0.36,,0.276,0.92,,
Houston,2019,0.956,4.67,0.672,14.0,1.97,0.26,0.52,0.42,0.36,0.368,0.86,2.25,0.291,1.26,17.0,
Houston Baptist,2013,0.942,5.24,0.405,,3.23,0.43,0.5,0.42,0.1,,0.43,,0.29,1.05,,
Houston Baptist,2014,0.962,4.9,0.44,,4.24,0.3,0.76,,0.26,,0.28,,0.296,1.36,,
Houston Baptist,2015,0.954,3.42,0.289,,6.28,0.16,0.36,0.367,0.2,,0.42,,0.269,1.11,,
Houston Baptist,2016,0.951,3.39,0.341,,4.88,0.09,0.61,0.393,0.43,,0.66,,0.265,1.18,,
Houston Baptist,2017,0.963,3.72,0.395,15.0,4.09,0.26,0.42,0.365,0.6,,0.3,,0.251,1.21,,
Houston Baptist,2018,0.956,2.86,0.209,13.0,4.06,0.09,0.6,0.337,0.37,,0.07,,0.222,1.0,,
Houston Baptist,2019,0.961,3.63,0.5,33.0,3.24,0.13,0.72,0.393,0.24,0.319,0.17,1.25,0.255,1.2,6.0,
Howard,2013,0.891,2.61,0.083,,8.96,0.17,0.33,0.298,0.28,,0.5,,0.215,0.53,,
